"Date","Open","High","Low","Close","Volume","Adj Close"
"2013-04-16",415,420,410,410,66.024,410
"2013-04-17",410,410,410,410,2.8000000000000003,410
"2013-04-18",420,641,420,640,2592.658599999996,640
"2013-04-19",641,780,641,780,1891.2900000000006,780
"2013-04-20",760,850,721,850,4984.831499999992,850
"2013-04-21",798,798,666,751,1551.066,751
"2013-04-22",760,760,731,760,784.5000000000001,760
"2013-04-23",774,830,757,830,607.4550000000005,830
"2013-04-24",830,960.1,830,880.1,587.789000000001,880.1
"2013-04-25",940,945,860,860,731.4751999999997,860
"2013-04-26",855,855,790,848,455.02239999999955,848
"2013-04-27",845,850,791,791,55.996099999999984,791
"2013-04-28",800,848,800,833,33.4926,833
"2013-04-29",816,900,815,855,112.51830000000002,855
"2013-04-30",878.99,890,838,871,101.8087,871
"2013-05-01",855,871,731,760,576.1685999999994,760
"2013-05-02",755,770,620,680,1027.0106,680
"2013-05-03",680,687,555,630,1576.8258999999998,630
"2013-05-04",630,740,630,730,2372.893799999996,730
"2013-05-05",736,765,710,745,5027.096900000052,745
"2013-05-06",742,765,720,740,4549.777099999997,740
"2013-05-07",750,750,670,701,3709.4761999999946,701
"2013-05-08",700,710,690,700,2389.250499999984,700
"2013-05-09",700,703.19,690,695,1699.8176999999941,695
"2013-05-10",695,725,691,715,3126.6370000000084,715
"2013-05-11",721.5,722,700,715,1285.3096999999918,715
"2013-05-12",716,716,700,700,1344.0047999999922,700
"2013-05-13",703,709,700,700,1189.9211999999973,700
"2013-05-14",707.3,711,698,698,1704.0072,698
"2013-05-15",698,700,665,670,1260.053499999998,670
"2013-05-16",697,697,675,688,1013.8468999999999,688
"2013-05-17",688,707,686,707,1666.4616999999967,707
"2013-05-18",709,718,700,710,3112.1909000000037,710
"2013-05-19",711,720,700.32,712,2346.334099999995,712
"2013-05-20",710,718,702,707,12832.478299999977,707
"2013-05-21",708,728,707,710,3461.1540000000005,710
"2013-05-22",710,721,710,719,3701.6225999999983,719
"2013-05-23",718.01,749,718,744.5,3647.330700000001,744.5
"2013-05-24",744.6,800.5,744,800,3609.910399999988,800
"2013-05-25",800.01,805,764,778.5,2195.948699999997,778.5
"2013-05-26",778.5,790.88,764.11,790.1,2215.5201000000006,790.1
"2013-05-27",790.1,796.99,766,766,1215.9699999999996,766
"2013-05-28",766.49,776.99,745,750,1451.989299999999,750
"2013-05-29",750,773,748,771,1392.5929,771
"2013-05-30",770.5,774.7,750.01,766,1497.8287999999984,766
"2013-05-31",765,770,758.88,762,1226.7338999999981,762
"2013-06-01",762,770,760,765,1141.7132000000004,765
"2013-06-02",765,769,713.5,730,2569.4538000000034,730
